_Glon,_Glat,_RAJ2000,_DEJ2000,recno,Name,EPA,GPA,Source,SimbadName,MASH,_RA,_DE
268.6620035,5.0907491,141.8670833,-43.7980556,271,G268.6+05.0,50,6,MASH,PN G268.6+05.0,MASH,141.86708,-43.79806
269.3014605,-0.8346963,136.3683333,-48.3822222,272,G269.3-00.8,80,32,MASH,PN G269.3-00.8,MASH,136.36833,-48.38222
272.1139054,12.3973133,151.75735,-40.4364056,273,NGC 3132,167,131,DSS2,NGC 3132,MASH,151.75735,-40.43641
273.2953797,-3.7873697,137.166875,-53.3205306,274,He 2-18,75,29,DSS2,Hen 2-18,MASH,137.16687,-53.32053
273.1994404,-0.3940564,141.0279167,-50.8902778,275,G273.2-00.3,123,79,MASH,PN G273.2-00.3,MASH,141.02792,-50.89028
274.3092704,9.1120638,151.4407458,-44.3592417,276,Lo 4,46,11,DSS2,PN Lo 4,MASH,151.44075,-44.35924
274.6921987,3.5446735,146.8541125,-48.9699889,277,He 2-37,119,80,DSS2,Hen 2-37,MASH,146.85411,-48.96999
274.8593957,-5.7806467,136.4241667,-55.8138889,278,G274.8-05.7,57,9,MASH,PN G274.8-05.7,MASH,136.42417,-55.81389
275.0843813,-4.1615305,138.7822792,-54.8788278,279,PB 4,35,170,DSS2,PN PB 4,MASH,138.78228,-54.87883
274.9957422,1.5193864,145.1704167,-50.7063889,280,G275.0+01.5,13,152,MASH,PN G275.0+01.5,MASH,145.17042,-50.70639
275.1644998,-3.5729749,139.6104167,-54.5269444,281,G275.1-03.5,137,92,MASH,PN G275.1-03.5,MASH,139.61042,-54.52694
275.2158371,-3.7081214,139.50545,-54.6580583,282,He 2-25,14,148,CAM98,Hen 2-25,MASH,139.50545,-54.65806
275.6378539,-0.5187896,143.7554167,-52.655,283,G275.6-00.5,128,86,MASH,PN G275.6-00.5,MASH,143.75542,-52.655
275.8685216,-2.9799824,141.190975,-54.6042917,284,He 2-29,55,12,DSS2,Hen 2-29,MASH,141.19097,-54.60429
276.1681054,-3.3906167,141.0629167,-55.1069444,285,G276.1-03.3,130,86,MASH,PN G276.1-03.3,MASH,141.06292,-55.10694
277.1501205,-3.8307758,141.7630125,-56.1058944,286,NGC 2899,117,73,CAM98,NGC 2899,MASH,141.76301,-56.10589
277.4062134,-0.7165213,145.7533333,-53.9747222,287,G277.4-00.7,138,98,MASH,PN G277.4-00.7,MASH,145.75333,-53.97472
277.7135155,-3.556479,142.8353542,-56.294275,288,Wray 17-31,90,48,DSS2,Wray 17-31,MASH,142.83535,-56.29427
278.3319615,-4.3189892,142.7041667,-57.2725,289,G278.3-04.3,30,167,MASH,PN G278.3-04.3,MASH,142.70417,-57.2725
278.5767278,-4.5590577,142.7287375,-57.6145667,290,He 2-32,159,117,DSS2,Hen 2-32,MASH,142.72874,-57.61457
279.13899,-3.1751401,145.21875,-56.9666667,291,VBRC 3,56,16,DSS2,PN VBRC 3,MASH,145.21875,-56.96667
