_Glon,_Glat,_RAJ2000,_DEJ2000,recno,Name,EPA,GPA,Source,SimbadName,MASH,_RA,_DE,α_min,α_max,α_rango
275.1644998,-3.5729749,139.6104167,-54.5269444,281,G275.1-03.5,137,92,MASH,PN G275.1-03.5,MASH,139.61042,-54.52694,0.6682364381984033,2.6785140299270127,2.0102775917286095
275.2158371,-3.7081214,139.50545,-54.6580583,282,He 2-25,14,148,CAM98,Hen 2-25,MASH,139.50545,-54.65806,1.0963796437923974,2.339641591138432,1.2432619473460345
275.6378539,-0.5187896,143.7554167,-52.655,283,G275.6-00.5,128,86,MASH,PN G275.6-00.5,MASH,143.75542,-52.655,0.6896473416653018,2.279160573664951,1.5895132319996494
275.8685216,-2.9799824,141.190975,-54.6042917,284,He 2-29,55,12,DSS2,Hen 2-29,MASH,141.19097,-54.60429,1.2047446771978378,2.8356860560766286,1.6309413788787908
276.1681054,-3.3906167,141.0629167,-55.1069444,285,G276.1-03.3,130,86,MASH,PN G276.1-03.3,MASH,141.06292,-55.10694,1.2633722217350203,3.062199750865162,1.7988275291301419
277.1501205,-3.8307758,141.7630125,-56.1058944,286,NGC 2899,117,73,CAM98,NGC 2899,MASH,141.76301,-56.10589,1.5178342957049855,2.4530099241007366,0.9351756283957511
277.4062134,-0.7165213,145.7533333,-53.9747222,287,G277.4-00.7,138,98,MASH,PN G277.4-00.7,MASH,145.75333,-53.97472,0.4858147454855651,2.616175765928724,2.130361020443159
277.7135155,-3.556479,142.8353542,-56.294275,288,Wray 17-31,90,48,DSS2,Wray 17-31,MASH,142.83535,-56.29427,0.9073628403755375,2.4911692506822853,1.5838064103067477
278.3319615,-4.3189892,142.7041667,-57.2725,289,G278.3-04.3,30,167,MASH,PN G278.3-04.3,MASH,142.70417,-57.2725,0.7964598195784297,2.378676060870669,1.5822162412922394
278.5767278,-4.5590577,142.7287375,-57.6145667,290,He 2-32,159,117,DSS2,Hen 2-32,MASH,142.72874,-57.61457,0.276437521448881,2.8837985973865434,2.6073610759376624
279.13899,-3.1751401,145.21875,-56.9666667,291,VBRC 3,56,16,DSS2,PN VBRC 3,MASH,145.21875,-56.96667,0.49003980337481023,1.7886858532354397,1.2986460498606296
279.13899,-3.1751401,145.21875,-56.9666667,292,G279.1-03.1,57,16,MASH,PN G279.1-03.1,MASH,145.21875,-56.96667,0.49003980337481023,1.7886858532354397,1.2986460498606296
279.6080149,-3.1864751,145.8567439,-57.2821117,293,He 2-36,144,105,DSS2,Hen 2-36,MASH,145.85674,-57.28211,0.05150558797554899,1.5609441901311334,1.5094386021555843
279.674692,2.2112579,151.8008333,-53.0791667,294,G279.6+02.2,141,105,MASH,PN G279.6+02.2,MASH,151.80083,-53.07917,1.020890330760301,1.7130572917893339,0.6921669610290329
281.3476803,-7.1020157,143.2633333,-61.355,295,G281.3-07.1,143,100,MASH,PN G281.3-07.1,MASH,143.26333,-61.355,0.9115733327568601,2.270112821896735,1.3585394891398748
282.5668082,-2.1097153,151.4570833,-58.2747222,296,G282.5-02.1,147,111,MASH,PN G282.5-02.1,MASH,151.45708,-58.27472,1.3233408559182223,2.4151948192526946,1.0918539633344724
282.9785965,3.8044405,157.8833208,-53.5585556,297,He 2-48,129,99,DSS2,Hen 2-48,MASH,157.88332,-53.55856,1.393775250977825,2.6595327043243255,1.2657574533465006
283.9422242,-1.8515847,153.89875,-58.8533333,298,Hf 4,13,160,DSS2,PN Hf 4,MASH,153.89875,-58.85333,1.440777356606412,2.036107987233013,0.5953306306266011
283.9033402,9.725809,163.6690458,-48.7841222,299,ESO 215-04,143,118,DSS2,ESO 215-04,MASH,163.66905,-48.78412,0.6017332998738303,2.8966383055154563,2.294905005641626
284.531399,3.8368336,160.195,-54.2997222,300,G284.5+03.8,127,98,MASH,PN G284.5+03.8,MASH,160.195,-54.29972,1.098985223574096,2.0822288335497205,0.9832436099756245
